Name,total_timelines,total_keys,revisions
California_Pacific_Conference,0,16,0
Finland-Sweden_Athletics_International,0,16,0
Golden_State_Athletic_Conference,2,15,45
American_Indoor_Football,4,20,469
NCAA_Cheerleading_Competition,0,7,0
International_Basketball_League,2,17,33
"National_Athletic_Association_of_Schools,_Colleges_and_Universities",0,10,0
Professional_Rodeo_Cowboys_Association,0,8,0
Association_of_Volleyball_Professionals,1,17,8
National_Collegiate_Athletic_Association_%E2%80%93_South,0,18,0
UAAP_basketball_championships,3,9,230
Ligue_Centrale_de_Hockey,0,7,0
Suncorp_Super_Netball,2,23,65
Atlantic_University_Sport,0,10,0
Global_Basketball_Association,0,12,0
British_American_Football_League,1,18,22
Western_Women%27s_Hockey_League,1,5,0
Western_Pennsylvania_Interscholastic_Athletic_League,1,14,24
EuroBasket_Women,1,16,11
Porter_County_Conference,0,6,0
AFL_Ontario,1,64,15
Major_League_Cricket_(2000),0,13,0
Empire_Football_League,0,11,0
Medallion_Shield,2,13,54
Handball_Championship_of_Bosnia_and_Herzegovina,1,13,27
Jayhawk_Collegiate_League,2,18,15
World_Surf_League,2,13,75
American_Association_of_Professional_Baseball,3,14,60
AFL_Japan,0,20,0
Missouri_Valley_Intercollegiate_Athletic_Association,0,3,0
Australian_Rules_Football_League_of_Ireland,0,36,0
Essendon_District_Football_League,1,40,37
United_States_Australian_Football_League,3,29,81
Pacific_Coast_Conference,0,12,0
Women%27s_American_Basketball_Association,2,16,0
Kootenay_International_Junior_Hockey_League,1,13,9
Asia_Series,5,27,190
OB_I_Bajnoks%C3%A1g,0,12,0
FedEx_Cup,2,25,154
South_Central_Conference_(Illinois),0,7,0
Independent_School_League_(Illinois),0,6,0
Euro_Hockey_Tour,1,7,18
Chinese_Professional_Baseball_League,4,18,109
Mestis,1,28,16
Continental_Indoor_Football_League,4,33,232
United_League_Baseball,2,12,211
Australian_Football_Harmony_Cup,0,6,0
Metropolitan_Basketball_Association,0,7,0
Maui_Invitational,2,18,70
National_Ice_Hockey_League,0,10,0
FIRST_Robotics_Competition,2,34,90
Rugby_league_in_Germany,0,7,0
Rugby_Canada_Super_League,1,10,9
Great_Lakes_Hockey_League_(adult),1,12,10
Bundesliga_(baseball),1,13,5
Hockomock_League,0,9,0
Suomi-sarja,2,27,13
PGA_EuroPro_Tour,1,25,25
Regional_Football_League,1,23,36
Spring_Football_League,0,7,0
Appalachian_Athletic_Conference,0,15,0
Oberliga_(ice_hockey),0,17,0
2nd_Bundesliga_(ice_hockey),1,14,10
Northern_Territory_Football_League,1,16,15
Southern_Football_League_(Tasmania),2,40,21
Major_League_Gaming,4,26,932
UAAP_volleyball_championships,1,7,79
Skyline_Conference,0,16,0
UAAP_Cheerdance_Competition,0,7,0
Western_League_(1900%E2%80%931958),0,16,0
Atlantic_Soccer_Conference,1,18,8
UAAP_overall_championships,0,7,0
Ongamenet_Starleague,1,39,15
Michigan_Community_College_Athletic_Association,0,9,0
Premier_Volleyball_League,2,37,227
Australian_National_Netball_Championships,0,19,0
Talent_League,4,14,122
Dominican_Summer_League,1,13,9
World_Rugby_Pacific_Nations_Cup,4,13,160
