Name,total_timelines,total_keys,revisions
Vladimir_Braga,2,19,0
Dumitru_Ivanov,3,21,4
Ivan_Iona%C8%99,4,21,0
Brian_McClendon,0,9,0
Maite_Orsini,0,17,0
"Sir_Thomas_Grosvenor,_3rd_Baronet",0,23,0
Romana_Tabak,6,34,54
J%C3%BAlio_de_Castilhos_(politician),0,27,0
Lateefah_Simon,0,8,0
Derek_Harvey,0,11,0
Tjong_A_Fie,0,26,0
Nash_Aguas,3,20,315
Hristo_Atanassov,0,19,0
Warren_Mosler,1,13,18
Jagannath_Sarkar_(CPI_politician),1,19,4
Cinthia_R%C3%A9gia_Gomes_do_Livramento,1,25,0
Lamidi_Adedibu,1,19,0
Wouter_De_Vriendt,1,21,0
Jos_Geysels,1,22,1
H._N._Goshal,0,7,0
B%C3%A4rbel_Beuermann,2,10,0
Zlatko_Komadina,4,22,34
Dan_Jessup,0,9,0
Samuel_Hinks,0,26,0
Robert_Smith_(priest),1,12,93
Ahmed_Marcouch,2,17,12
Viktor_Pshonka,5,44,109
M%27hamed_Djellouli,0,24,0
Alejandro_Hamed,4,20,23
Antonio_Diaz_(Filipino_politician),4,22,18
Nihang_Khan,0,36,0
Fernando_de_Mascarenhas,0,25,0
George_W._Morton,0,18,0
Sergey_Tsoy,3,17,12
Anders_Danielsson,3,16,5
Sudafi_Henry,1,22,0
Paul_Dyster,2,17,10
Frederick_L._Schmersahl,0,18,0
Ahmed_Friaa,1,25,17
Yuly_Rybakov,0,10,0
Bobby_Schostak,2,15,31
Abdul_Ajib_Ahmad,1,29,18
Hallgrim_Berg,0,28,0
Ruy_Barbosa,0,22,0
Slaheddine_Baccouche,0,26,0
Mohamed_Salah_Mzali,0,26,0
Khelil_Bouhageb,0,28,0
Mustapha_Dinguizli,0,26,0
H%C3%A9di_Lakhoua,0,26,0
Ta%C3%AFeb_Djellouli,0,26,0
Franklin_Potts_Glass_Sr.,0,8,0
Dick_Dolman,1,19,7
Ryszard_Tomczyk,0,63,0
Edward_M%C3%BCller,0,12,0
Jeremy_Buckingham,6,10,133
Vesa-Matti_Saarakkala,3,20,22
K._Kunhiraman,2,18,38
Larry_Irving,0,9,0
Juan_Sarmiento_Soto,4,22,10
"Carlos_Frederico_Lecor,_Viscount_of_Laguna",0,22,0
Mathurin_Anghiley,0,9,0
Pierre-Jean_Samot,1,6,1
Philippe_Edmond-Mariette,1,12,0
Peter_Phelps_(politician),2,9,42
Scot_MacDonald,2,9,6
Hamid_Sajjadi,1,27,46
Gy%C3%B6rgy_Gyula_Zagyva,1,9,0
Rostam_Ghasemi,7,48,179
Muhammad_Masood_Lali,0,1,0
Cid_Gomes,8,19,23
P._Palaniappan,6,12,49
Jules_Jammal,0,11,0
Nils_Turesson_Bielke,1,28,4
Jef_Tavernier,1,17,0
